gene_id,Control1_NP,Control2_NP,Control3_NP,Control4_NP,Control1_P,Control2_P,Control3_P,Control4_P,EE1_P,EE2_P,EE3_P,EE4_P
MSTRG.14388,192,131,173,111,160,105,83,315,323,202,125,155
MSTRG.10356,1216,1276,1270,936,954,738,579,2300,2594,740,687,1136
MSTRG.10351,652,389,441,346,315,208,175,1025,700,456,336,368
MSTRG.10350,62,47,58,161,70,62,21,91,160,106,66,85
MSTRG.10353,185,115,142,196,35,51,98,119,183,225,212,37
MSTRG.10352,99,51,72,149,0,70,50,84,82,99,82,23
MSTRG.20495,2696,1937,1890,1315,1685,1193,1663,4042,4052,1931,1731,2097
MSTRG.20366,3970,3459,2774,2740,2549,2192,1486,6637,3125,3640,2021,3507
MSTRG.20497,157,105,0,0,98,62,0,112,187,63,4,49
MSTRG.20496,1744,1472,1466,1124,1364,918,879,2961,3415,1454,1119,1544
MSTRG.20491,24,22,10,8,12,75,20,90,11,13,21,11
MSTRG.20362,986,606,508,884,540,653,547,1119,1587,545,510,825
MSTRG.20361,18,21,13,11,11,13,0,41,96,29,15,24
MSTRG.20492,4142,4665,3567,3644,4856,4838,4180,13257,12149,5538,6409,7070
MSTRG.20499,20,21,22,12,20,15,14,33,46,9,14,28
MSTRG.20498,925,645,1186,1432,909,559,557,1747,1700,786,730,1056
MSTRG.20369,8,26,36,17,4,10,9,48,46,0,0,6
MSTRG.20368,174,189,162,166,105,86,62,393,352,183,164,206
MSTRG.13556,143,173,147,209,181,160,148,483,360,251,140,230
MSTRG.19982,73,13,21,11,13,21,21,41,130,10,14,31
MSTRG.13554,116,93,99,58,108,49,77,219,306,139,110,62
MSTRG.17876,2571,1374,1188,509,159,323,211,703,678,347,214,307
MSTRG.17871,2411,2458,1960,1951,1820,1620,1383,4124,4068,2432,1679,2531
MSTRG.19986,0,10,0,0,9,0,0,6,12,0,0,8
MSTRG.13550,14833,12978,8601,11785,9463,5833,7307,21677,20824,11548,7605,12188
MSTRG.17872,147,99,87,135,54,94,95,159,87,104,118,86
MSTRG.5435,8,0,14,10,10,8,0,0,14,5,15,0
MSTRG.8652,2210,2498,1781,2309,1734,1378,1356,5138,4518,2456,1539,2717
MSTRG.19989,33,28,30,15,24,23,17,63,48,26,21,22
MSTRG.5436,5294,4592,4624,4248,4124,3292,2971,9944,9745,5895,3913,5823
MSTRG.5431,5051,4810,5334,4828,2548,2332,1939,8888,6712,5291,2061,5486
MSTRG.17878,97,175,132,98,116,85,74,274,251,133,154,273
MSTRG.13558,1137,1211,810,830,1005,1011,787,2613,1837,1576,856,1308
MSTRG.13559,944,599,662,645,362,452,442,1383,1304,946,601,772
MSTRG.15657,64,44,66,12,10,22,15,43,96,64,36,123
MSTRG.15656,421,442,263,406,319,298,273,982,811,436,283,341
MSTRG.17000,2856,2596,2694,2165,2134,1696,1437,4353,5274,2445,1609,2364
MSTRG.15654,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.15653,0,0,0,0,0,0,10,0,0,0,0,3
MSTRG.3354,44133,72367,49268,60402,57625,35492,18503,147673,63049,101671,39214,76447
MSTRG.15651,1352,1478,993,1088,1233,1035,810,3294,3350,1245,1050,1292
MSTRG.15650,171,66,122,78,66,118,65,310,90,85,43,85
MSTRG.8651,143,129,114,97,108,137,105,275,265,143,138,191
MSTRG.16745,1153,1257,1200,472,190,435,616,923,1582,411,1351,996
MSTRG.15659,402,352,374,217,257,203,233,843,742,437,320,414
MSTRG.15658,2020,1871,1513,1173,2337,1860,1638,5715,5418,3736,1894,4298
MSTRG.11915,7,61,0,135,77,5,25,465,56,100,67,732
MSTRG.6285,3503,164,1275,662,45,280,512,379,1506,1422,735,1459
MSTRG.4378,2768,2738,2173,2380,1993,1483,1282,5194,3918,2816,1830,2851
MSTRG.3610,2,1,0,1,1,0,1,0,3,1,0,1
MSTRG.3908,772,668,684,469,861,429,604,1363,1643,964,622,889
MSTRG.2869,206,232,167,167,246,146,131,489,311,248,154,196
MSTRG.2868,479,540,406,275,370,404,322,845,803,411,302,433
MSTRG.4640,319,226,201,148,161,165,129,469,565,221,215,187
MSTRG.13465,3991,3840,3706,3229,3237,2746,2807,8597,9091,3854,3109,4619
MSTRG.2364,0,6,2,12,9,124,3,10,7,13,29,17
MSTRG.16855,0,0,0,0,0,4,8,0,0,0,0,0
MSTRG.19487,1690,2137,1882,2496,842,1003,1121,3283,2494,1867,722,2470
MSTRG.8223,2309,1629,2456,1836,1432,1434,804,4030,2877,2650,1505,2429
MSTRG.13271,3,0,0,0,0,9,3,0,8,4,16,5
MSTRG.18747,16,106,68,5,18,65,73,173,219,197,19,43
MSTRG.14773,21,10,11,11,16,17,0,61,29,8,8,18
MSTRG.16935,134,62,84,66,35,67,26,198,299,39,81,82
MSTRG.18588,320,125,124,90,180,112,66,253,276,136,109,175
MSTRG.7504,0,0,0,0,0,0,0,2,0,0,0,0
MSTRG.7247,0,0,0,0,0,15,7,0,10,0,0,0
MSTRG.17935,1426,2223,2191,3013,2212,1763,2323,6175,5310,4227,2089,4241
MSTRG.18580,49,10,4,3,33,0,10,45,39,28,28,21
MSTRG.18581,5567,4138,2242,3021,3876,3820,2485,15496,7008,5173,2392,6555
MSTRG.18582,800,693,546,688,706,566,460,1311,1465,880,607,934
MSTRG.18583,925,543,659,580,613,581,431,2005,2027,1081,659,691
MSTRG.18584,7,3,7,8,20,3,10,15,20,10,4,2
MSTRG.18585,159,127,188,24,206,166,122,601,692,244,218,160
MSTRG.18586,945,625,787,485,678,507,442,1794,1792,768,742,928
MSTRG.18587,1070,1462,868,959,1529,1630,1161,2238,3513,1309,1449,2578
MSTRG.14979,93,66,181,50,61,35,31,186,156,76,100,86
MSTRG.19969,26,9,11,19,4,11,5,46,44,6,27,9
MSTRG.7790,530,512,451,352,474,261,224,985,851,729,414,409
MSTRG.19968,72,71,48,43,43,44,32,124,94,47,31,39
MSTRG.10046,1220,995,932,840,894,967,761,2664,2087,1260,1076,1374
MSTRG.8900,22,13,9,23,6,238,10,0,18,31,85,6
MSTRG.2363,4548,5248,3739,4306,4641,2958,2803,9707,9503,4741,3153,5068
MSTRG.17851,578,1386,850,0,30,14,882,57,71,15,1805,8
MSTRG.8660,18,25,17,25,6,27,0,34,5,0,26,19
MSTRG.17387,2,0,0,0,3,10,0,4,6,0,0,5
MSTRG.13801,1259,1194,1160,1118,984,681,605,1877,1853,1175,733,1223
MSTRG.13802,5230,1702,2090,1376,1153,464,489,1237,1517,1064,648,711
MSTRG.17384,1774,1369,1431,1276,987,673,682,3025,2146,1063,1075,1464
MSTRG.13804,4,8,0,0,0,5,0,10,12,6,22,5
MSTRG.17382,6,22,7,15,12,10,31,29,24,32,0,18
MSTRG.13806,655,602,517,686,608,341,258,3200,1043,260,292,361
MSTRG.17380,9,21,9,9,20,10,11,20,26,8,0,16
MSTRG.13808,1363,1457,1643,1081,1311,1401,931,3289,2401,1713,996,1152
MSTRG.17857,2612,2383,2246,2546,2582,1678,1576,4740,5675,2704,1515,2871
MSTRG.2864,120,81,88,88,72,37,39,85,235,94,72,80
MSTRG.6663,2472,2353,2768,2539,1799,1661,1344,5756,4094,3432,2007,3559
MSTRG.17389,733,875,222,1279,638,738,284,3187,2411,284,544,507
