"","logFC","logCPM","F","PValue","FDR"
"MSTRG.6683",0.663351146516779,5.46017079203433,31.3476580702778,0.000296514137134822,0.0351398360247982
"MSTRG.18393",-0.874751716690581,4.55754987257408,31.2381287758702,0.000300402624891691,0.0351398360247982
"MSTRG.11500",-0.912309614775763,7.88306259035454,31.23511237126,0.000300441179759381,0.0351398360247982
"MSTRG.4407",0.833513867288051,4.68893484373895,31.0434319929721,0.000307381125318418,0.0357180859582668
"MSTRG.9273",-0.730328023045148,4.9898487047619,30.6623974172085,0.000321595704862923,0.0370005487993319
"MSTRG.10912",0.668487578882663,6.11081768692929,30.5907311145704,0.000324322139224024,0.0370005487993319
"MSTRG.10730",-0.909884288225377,5.73516382927503,30.5085644332643,0.000327536619071528,0.0370005487993319
"MSTRG.6982",-0.68546560776649,4.65772265662352,30.48689589398,0.000328438327705525,0.0370005487993319
"MSTRG.18822",-0.952993111416629,4.45681027715305,30.4451928741371,0.000330104168879734,0.0370005487993319
"MSTRG.9089",4.5092192249443,-1.44016746736114,31.9797394277802,0.000331294664433304,0.0370005487993319
"MSTRG.11798",-1.27335708677029,3.04651015246219,30.3849145386168,0.000332891218591363,0.0370005487993319
"MSTRG.9410",0.746708422191836,6.88208010696165,30.2849990849926,0.000336446967909174,0.0371649289551523
"MSTRG.11128",0.948502769132177,5.19429273439706,30.2297852464553,0.000338733180477635,0.0371879157340324
"MSTRG.4333",0.856292761215423,4.27012093888173,30.1073937112199,0.000343866716190069,0.0374349737747467
"MSTRG.16851",-1.22369719570452,2.65799231753411,30.0912187584333,0.000345167402784755,0.0374349737747467
"MSTRG.15949",0.810766871152481,5.34077750686492,29.9616081220136,0.000349909959336397,0.0377207151947279
"MSTRG.18280",0.748840041866603,6.64449716828863,29.8845599030422,0.000353183507724845,0.0377700497108177
"MSTRG.18327",-1.68862234663924,3.15293474353136,29.8475225984296,0.000355354500873228,0.0377700497108177
"MSTRG.11160",1.25791216221442,3.76042439878737,29.8092052625038,0.000356699547422643,0.0377700497108177
"MSTRG.9158",1.20212603683141,2.99300604595247,29.7169110481991,0.000361125200371508,0.0380137380038126
"MSTRG.5250",-0.808049025029206,6.86353383476655,29.5964504686309,0.000365853398029957,0.0382102432397875
